"respondent_id","h1n1_vaccine","seasonal_vaccine"
26707,0.2,0.1875
26708,0.05,0
26709,0.6,0.975
26710,0.5,0.85
26711,0.3125,0.5625
26712,0.5625,0.9375
26713,0.45,0.5125
26714,0.1125,0.1125
26715,0,0.0375
26716,0.1375,0.8375
26717,0.05,0.5625
26718,0.375,0.5
26719,0.175,0.825
26720,0.0125,0.225
26721,0.5,0.4875
26722,0.1,0.0625
26723,0.6875,0.8375
26724,0.0625,0.775
26725,0.075,0.0875
26726,0.175,0.125
26727,0.375,0.7375
26728,0.2125,0.45
26729,0.0625,0.275
26730,0.125,0.2375
26731,0.0625,0.275
26732,0.1875,0.25
26733,0.7625,0.95
26734,0.675,0.4125
26735,0.1,0.4125
26736,0.0125,0.1625
26737,0.0375,0.25
26738,0.65,0.775
26739,0.075,0.175
26740,0.2375,0.2
26741,0.2,0.875
26742,0.0125,0.325
26743,0.05,0.35
26744,0.0625,0.6625
26745,0.2,0.775
26746,0.1125,0.1875
26747,0.1,0.1375
26748,0.1,0.2
26749,0.1375,0.4875
26750,0.7125,0.9375
26751,0.375,0.6875
26752,0.075,0.1125
26753,0.1,0.325
26754,0.2125,0.45
26755,0.15,0.45
26756,0.0125,0.225
26757,0.3,0.5875
26758,0.6,0.8
26759,0.05,0.175
26760,0.025,0.125
26761,0.325,0.625
26762,0.1875,0.6875
26763,0.725,0.9
26764,0.8,0.9375
26765,0.2125,0.4875
26766,0.075,0.1375
26767,0.725,0.65
26768,0.0625,0.5
26769,0.15,0.3
26770,0.15,0.6375
26771,0.1375,0.375
26772,0.0625,0.525
26773,0.05,0.275
26774,0.1125,0.3875
26775,0.0125,0.5875
26776,0.3875,0.4625
26777,0.125,0.7125
26778,0.1875,0.175
26779,0.1,0.65
26780,0.2875,0.8375
26781,0.175,0.3625
26782,0.0375,0.25
26783,0.1,0.2625
26784,0.5125,0.9375
26785,0.35,0.7125
26786,0.0375,0.1875
26787,0.1625,0.5
26788,0.075,0.85
26789,0.025,0.2875
26790,0.025,0.175
26791,0.025,0.0625
26792,0.2125,0.775
26793,0.125,0.975
26794,0.675,0.9
26795,0.1125,0.8625
26796,0.0125,0.0875
26797,0.15,0.675
26798,0.3,0.15
26799,0.375,0.3125
26800,0.075,0.85
26801,0.2,0.425
26802,0.05,0.225
26803,0.025,0.1
26804,0.075,0.05
26805,0.0875,0.1375
26806,0.0875,0.9375
26807,0.5375,0.8
26808,0.2375,0.4375
26809,0.425,0.25
26810,0.0625,0.15
26811,0.05,0.0875
26812,0.1625,0.6625
26813,0.375,0.3875
26814,0.025,0.775
26815,0.0125,0.025
26816,0.0625,0.2125
26817,0.075,0.675
26818,0.1125,0.3625
26819,0.2,0.2875
26820,0.1125,0.175
26821,0.1125,0.4375
26822,0.2125,0.6
26823,0.1875,0.375
26824,0.0875,0.6875
26825,0.375,0.45
26826,0.1625,0.75
26827,0.125,0.15
26828,0.1375,0.4125
26829,0.45,0.875
26830,0.1125,0.875
26831,0.3,0.9
26832,0.1875,0.8125
26833,0.1375,0.5375
26834,0.3375,0.55
26835,0.6375,0.8625
26836,0.1375,0.7375
26837,0.125,0.075
26838,0.0375,0.6
26839,0.3,0.475
26840,0.0875,0.125
26841,0.3875,0.75
26842,0.0125,0.2
26843,0.05,0.1
26844,0.0875,0.425
26845,0.05,0.575
26846,0.0875,0.8
26847,0.2875,0.25
26848,0.175,0.675
26849,0.25,0.4875
26850,0.6375,0.625
26851,0.0125,0.0625
26852,0.025,0.1375
26853,0.375,0.5875
26854,0.05,0.175
26855,0.5625,0.875
26856,0.1625,0.1
26857,0.45,0.3375
26858,0.075,0.4625
26859,0.05,0.1125
26860,0.1375,0.1375
26861,0.05,0.125
26862,0.075,0.3375
26863,0.2,0.5
26864,0.525,0.3625
26865,0.05,0.0125
26866,0.1125,0.575
26867,0.025,0.125
26868,0.6875,0.825
26869,0.1,0.2625
26870,0.5875,0.8125
26871,0.0375,0.1
26872,0.1875,0.3625
26873,0.225,0.7375
26874,0.0125,0.175
26875,0.725,0.875
26876,0.1,0.125
26877,0.2625,0.15
26878,0.175,0.4125
26879,0,0.025
26880,0.1,0.1875
26881,0.025,0.0625
26882,0.0125,0.075
26883,0.1125,0.1875
26884,0.05,0.2125
26885,0.225,0.75
26886,0.1625,0.7875
26887,0.5125,0.7875
26888,0.9,0.925
26889,0.0375,0.125
26890,0.3125,0.6
26891,0.5875,0.825
26892,0.1625,0.5875
26893,0.0125,0.0625
26894,0.1,0.2125
26895,0.125,0.9
26896,0.0125,0.0625
26897,0.05,0.425
26898,0.2875,0.65
26899,0.025,0.125
26900,0.0625,0.225
26901,0.1,0.425
26902,0.1625,0.8125
26903,0.1875,0.2
26904,0.1375,0.3375
26905,0.4625,0.8
26906,0.0875,0.4125
26907,0.05,0.5
26908,0.0875,0.8625
26909,0.15,0.25
26910,0.225,0.4125
26911,0.025,0.1875
26912,0.3625,0.7875
26913,0.8625,0.8625
26914,0.0375,0.2125
26915,0.275,0.575
26916,0.2,0.1375
26917,0.0875,0.175
26918,0.825,0.975
26919,0.2,0.5625
26920,0,0.0625
26921,0.125,0.675
26922,0.025,0.775
26923,0.1375,0.4875
26924,0.7625,0.9625
26925,0.1625,0.6625
26926,0.45,0.4375
26927,0.35,0.7
26928,0.075,0.5125
26929,0.0875,0.2875
26930,0.725,0.725
26931,0.0375,0.45
26932,0.0875,0.8875
26933,0.0375,0.475
26934,0.5625,0.7875
26935,0.15,0.4375
26936,0.3625,0.2875
26937,0.3375,0.85
26938,0.1125,0.0625
26939,0,0.0625
26940,0.125,0.2125
26941,0.0875,0.2875
26942,0.45,0.75
26943,0.2375,0.65
26944,0.0375,0.175
26945,0.0875,0.525
26946,0.3625,0.6375
26947,0.1625,0.6
26948,0.0125,0.075
26949,0.0375,0.0625
26950,0.05,0.4875
26951,0.1375,0.35
26952,0.7125,0.8375
26953,0.7375,0.8875
26954,0.0375,0.1
26955,0.075,0.65
26956,0.1375,0.1125
26957,0.1,0.775
26958,0.2125,0.6875
26959,0.0875,0.25
26960,0.0125,0.2
26961,0.375,0.3625
26962,0.2,0.85
26963,0.1375,0.3875
26964,0.05,0.2125
26965,0.9,0.9
26966,0.0875,0.1375
26967,0.175,0.425
26968,0.0625,0.8875
26969,0.0625,0.2875
26970,0.5875,0.6125
26971,0.025,0.075
26972,0.05,0.075
26973,0.125,0.1875
26974,0.1375,0.3375
26975,0.0375,0.575
26976,0.8375,0.6
26977,0.025,0.55
26978,0.025,0.7625
26979,0.5375,0.7625
26980,0.125,0.1125
26981,0.175,0.375
26982,0.65,0.7375
26983,0.15,0.35
26984,0.0375,0.1875
26985,0.1125,0.2125
26986,0.1875,0.3875
26987,0.05,0.3375
26988,0.025,0.1125
26989,0.2375,0.775
26990,0.025,0.1125
26991,0.2625,0.5125
26992,0.225,0.3625
26993,0.125,0.9125
26994,0.0875,0.325
26995,0.25,0.525
26996,0.375,0.3375
26997,0.075,0.0875
26998,0.1,0.0375
26999,0.425,0.4625
27000,0.05,0.3375
27001,0.1125,0.8125
27002,0.0875,0.35
27003,0.025,0.0375
27004,0.2,0.3125
27005,0.6,0.9
27006,0.6875,0.825
27007,0.0125,0.1375
27008,0.1875,0.0375
27009,0.0375,0.1625
27010,0.0375,0.05
27011,0.2125,0.15
27012,0.3375,0.525
27013,0.125,0.45
27014,0.0625,0.4375
27015,0.1375,0.1875
27016,0.1125,0.3625
27017,0.5125,0.9125
27018,0.0625,0.2375
27019,0.7625,0.9875
27020,0.1625,0.2875
27021,0.1125,0.525
27022,0.175,0.2125
27023,0.1,0.1625
27024,0.0875,0.425
27025,0.175,0.175
27026,0.1125,0.4875
27027,0.0125,0.8875
27028,0.425,0.8625
27029,0.0875,0.15
27030,0.175,0.3375
27031,0.2625,0.8125
27032,0.1625,0.5875
27033,0.3375,0.6625
27034,0.0875,0.475
27035,0.0375,0.15
27036,0.1125,0.725
27037,0.375,0.4875
27038,0.025,0
27039,0.75,0.9375
27040,0.325,0.325
27041,0.1,0.7
27042,0.1125,0.6
27043,0.4125,0.625
27044,0.0125,0.0625
27045,0.075,0.7625
27046,0.0875,0.0875
27047,0.4875,0.4375
27048,0.25,0.5375
27049,0.475,0.7625
27050,0.0375,0.7375
27051,0.075,0.15
27052,0.0125,0.1875
27053,0.775,0.8875
27054,0.05,0.0125
27055,0.175,0.9125
27056,0.15,0.1
27057,0.0375,0.1125
27058,0.9,0.9375
27059,0.0375,0.1
27060,0.075,0.125
27061,0.0625,0.45
27062,0.1125,0.5
27063,0.0625,0.55
27064,0.2125,0.5125
27065,0.1,0.425
27066,0.0875,0.55
27067,0.575,0.875
27068,0.7875,0.925
27069,0.5625,0.9375
27070,0.0375,0.05
27071,0.1375,0.0625
27072,0.2875,0.4875
27073,0.025,0.875
27074,0.075,0.1875
27075,0.6875,0.7
27076,0.525,0.65
27077,0.0125,0.175
27078,0.3125,0.8
27079,0.4,0.9125
27080,0.0625,0.175
27081,0.05,0.7375
27082,0.1875,0.2875
27083,0.025,0.225
27084,0.625,0.65
27085,0.0125,0.0875
27086,0.0375,0.0625
27087,0.2,0.2875
27088,0.35,0.65
27089,0.1,0.125
27090,0.275,0.7375
27091,0.525,0.425
27092,0.1,0.175
27093,0.125,0.2
27094,0.0375,0.2
27095,0.325,0.65
27096,0.1125,0.1375
27097,0.525,0.675
27098,0.675,0.775
27099,0.1875,0.3625
27100,0.225,0.75
27101,0.15,0.6125
27102,0.0625,0.9125
27103,0.0375,0.0875
27104,0.225,0.6375
27105,0.2125,0.35
27106,0.6125,0.8375
27107,0.45,0.625
27108,0.1125,0.1625
27109,0.0875,0.0375
27110,0.075,0.3875
27111,0.0625,0.375
27112,0.275,0.4875
27113,0.0625,0.0375
27114,0,0.1375
27115,0.4125,0.6
27116,0.1375,0.925
27117,0.025,0.075
27118,0.0375,0.425
27119,0.0625,0.2
27120,0.3,0.9625
27121,0.025,0.675
27122,0.1,0.3625
27123,0.075,0.2125
27124,0.15,0.1875
27125,0.0125,0.075
27126,0.2,0.2
27127,0.075,0.0875
27128,0.1875,0.5
27129,0.45,0.45
27130,0.05,0.3625
27131,0.0625,0.1125
